OpenTime,ScaleReading,nReps,
30,0.69,200,0.00345
40,1.52,200,0.00415
50,2.3,200,0.0039
60,3.14,200,0.0042
70,4,200,0.0043
100,5.08,200,0.0054
,,,
,,,
30,0.00345,,
40,0.00415,,
50,0.0039,,
60,0.0042,,
70,0.0043,,
100,0.0054,,
