OpenTime,ScaleReading,nReps,
30,1.31,200,
40,2.1,200,0.00395
50,2.88,200,0.0039
60,3.67,200,0.00395
70,4.5,200,0.00415
80,5.38,200,0.0044
100,6.39,200,0.00505
,,,
40,0.00395,,
50,0.0039,,
60,0.00395,,
70,0.00415,,
80,0.0044,,
100,0.00505,,
