OpenTime,ScaleReading,nReps,
30,0.76,200,0.0038
40,1.81,200,0.00525
50,2.92,200,0.00555
60,4.11,200,0.00595
70,5.35,200,0.0062
100,6.55,200,0.006
,,,
,,,
30,0.0038,,
40,0.00525,,
50,0.00555,,
60,0.00595,,
70,0.0062,,
100,0.006,,
