OpenTime,ScaleReading,nReps,
30,0.64,200,0.0032
40,1.4,200,0.0038
50,2.22,200,0.0041
60,3.06,200,0.0042
70,3.87,200,0.00405
80,4.7,200,0.00415
100,5.61,200,0.00455
,,,
30,0.0032,,
40,0.0038,,
50,0.0041,,
60,0.0042,,
70,0.00405,,
80,0.00415,,
100,0.00455,,
