OpenTime,ScaleReading,nReps
30,0.28999999999999998,100
40,0.64000000000000001,100
50,1.05,100
60,1.5,100
70,1.9199999999999999,100
80,2.3500000000000001,100
90,2.7799999999999998,100
100,3.25,100
110,3.71,100
120,4.2199999999999998,100
130,4.7300000000000004,100
140,5.2800000000000002,100
150,5.8700000000000001,100
150,6.4500000000000002,100
140,7.0300000000000002,100
130,7.5499999999999998,100
120,8.0600000000000005,100
110,8.5299999999999994,100
100,8.9700000000000006,100
90,9.3900000000000006,100
80,9.8100000000000005,100
70,10.23,100
60,10.66,100
50,11.050000000000001,100
40,11.41,100
30,11.69,100
