OpenTime,ScaleReading,nReps,
30,0.79,200,0.00395
40,1.67,200,0.0044
50,2.61,200,0.0047
60,3.55,200,0.0047
70,4.45,200,0.0045
100,5.48,200,0.00515
,,,
,,,
30,0.00395,,
40,0.0044,,
50,0.0047,,
60,0.0047,,
70,0.0045,,
100,0.00515,,
