Photodiode,AsyncPulse,BonsaiTime,ArduinoTime
8,0,62657595.008,2166
12,0,62657596.1088,2166
11,0,62657597.2096,2166
14,0,62657598.2592,2166
6,0,62657599.2704,2166
5,0,62657600.256,2176
9,0,62657601.3056,2176
12,0,62657602.4064,2176
11,0,62657603.456,2176
15,0,62657604.5056,2176
11,0,62657605.5552,2176
12,0,62657606.6944,2176
9,0,62657607.616,2176
14,0,62657608.8192,2176
13,0,62657609.8176,2176
11,0,62657610.8544,2186
14,0,62657611.9296,2186
5,0,62657612.9024,2186
8,0,62657613.9392,2186
12,0,62657615.0144,2186
12,0,62657616.0896,2186
14,0,62657617.216,2186
6,0,62657618.1504,2186
7,0,62657619.1488,2186
10,0,62657620.3136,2186
7,0,62657621.2608,2196
8,0,62657622.3104,2196
10,0,62657623.4112,2196
8,0,62657624.4096,2196
11,0,62657625.4592,2196
12,0,62657626.5344,2196
13,0,62657627.5968,2196
14,0,62657628.6464,2196
12,0,62657629.7472,2196
9,0,62657630.6944,2206
8,0,62657631.7184,2206
5,0,62657632.7424,2206
8,0,62657633.7792,2206
13,0,62657634.8672,2206
10,0,62657635.9296,2206
9,0,62657636.9152,2206
10,0,62657638.016,2206
11,0,62657639.0784,2206
14,0,62657640.1408,2206
12,0,62657641.3312,2216
13,0,62657642.4064,2216
10,0,62657643.3536,2216
7,0,62657644.352,2216
12,0,62657645.4656,2216
7,0,62657646.4128,2216
11,0,62657647.5136,2216
14,0,62657648.5632,2216
13,0,62657649.6512,2216
6,0,62657650.624,2226
6,0,62657651.648,2226
11,0,62657652.7488,2226
13,0,62657653.7984,2226
7,0,62657654.7712,2226
6,0,62657655.808,2226
11,0,62657656.9344,2226
11,0,62657657.984,2226
10,0,62657659.0592,2226
8,0,62657660.032,2226
12,0,62657661.1328,2236
12,0,62657662.2208,2236
11,0,62657663.3216,2236
6,0,62657664.2688,2236
12,0,62657665.3568,2236
14,0,62657666.4576,2236
12,0,62657667.4944,2236
13,0,62657668.5696,2236
12,0,62657669.6448,2236
6,0,62657670.6304,2246
12,0,62657671.7312,2246
13,0,62657672.7808,2246
13,0,62657673.856,2246
14,0,62657674.9312,2246
13,0,62657675.9808,2246
6,0,62657676.9664,2246
9,0,62657677.9904,2246
14,0,62657679.0912,2246
12,0,62657680.1792,2246
14,0,62657681.2672,2256
6,0,62657682.2144,2256
8,0,62657683.264,2256
12,0,62657684.3648,2256
13,0,62657685.4656,2256
13,0,62657686.464,2256
5,0,62657687.4368,2256
11,0,62657688.6016,2256
5,0,62657689.5232,2256
9,0,62657690.56,2266
13,0,62657691.6608,2266
9,0,62657692.6208,2266
13,0,62657693.7344,2266
13,0,62657694.8096,2266
14,0,62657695.8848,2266
11,0,62657696.9344,2266
14,0,62657698.0096,2266
10,0,62657699.072,2266
5,0,62657700.0576,2266
11,0,62657701.2352,2276
12,0,62657702.2208,2276
12,0,62657703.3472,2276
8,0,62657704.3328,2276
9,0,62657705.3696,2276
11,0,62657706.4832,2276
12,0,62657707.4944,2276
12,0,62657708.544,2276
14,0,62657709.6448,2276
11,0,62657710.6688,2286
12,0,62657711.7568,2286
9,0,62657712.832,2286
12,0,62657713.8304,2286
13,0,62657714.8928,2286
13,0,62657715.968,2286
13,0,62657717.0176,2286
8,0,62657717.9904,2286
10,0,62657719.1168,2286
15,0,62657720.2176,2286
8,0,62657721.152,2296
7,0,62657722.2144,2296
7,0,62657723.2256,2296
11,0,62657724.3264,2296
14,0,62657725.4272,2296
10,0,62657726.4768,2296
7,0,62657727.424,2296
12,0,62657728.5248,2296
12,0,62657729.6256,2296
11,0,62657730.6496,2306
8,0,62657731.6352,2306
11,0,62657732.736,2306
13,0,62657733.8112,2306
11,0,62657734.8864,2306
10,0,62657735.936,2306
10,0,62657736.9984,2306
10,0,62657738.0992,2306
10,0,62657739.1488,2306
7,0,62657740.1472,2316
11,0,62657741.2736,2316
8,0,62657742.2848,2316
13,0,62657743.3728,2316
11,0,62657744.4224,2316
12,0,62657745.472,2316
14,0,62657746.5472,2316
