VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
27,80668,21050,57979655.5392
28,89782,21100,57979687.3344
29,89602,21130,57979736.1664
30,89408,21170,57979767.8208
31,89295,21200,57979799.1296
32,89503,21250,57979831.6032
33,89511,21280,57979879.1168
34,89463,21311,57979912.64
35,89456,21341,57979943.8464
36,89683,21371,57979976.192
37,89444,21421,57980008.3456
38,89373,21451,57980056.448
39,89320,21492,57980088.2048
40,89016,21522,57980121.472
41,89192,21572,57980151.8464
42,80612,21602,57980201.1136
43,80546,21632,57980232.6272
44,80480,21662,57980264.7424
45,80384,21692,57980295.5264
46,80521,21742,57980328.6528
47,80539,21772,57980376.8192
48,80720,21813,57980408.1664
49,80641,21843,57980440.0384
50,80497,21893,57980471.9488
51,80680,21923,57980520.768
52,80819,21953,57980550.7072
53,80986,21984,57980583.744
54,80760,22014,57980615.5392
55,80914,22064,57980648.576
56,80266,22094,57980695.8592
57,80662,22124,57980728.0512
58,80739,22164,57980760.3968
59,80710,22204,57980791.5648
60,80610,22244,57980839.7824
61,80585,22274,57980876.2752
62,80621,22304,57980904.4992
63,80621,22335,57980936.5632
64,80775,22385,57980968.4864
65,80684,22415,57981016.4352
66,80710,22455,57981048.3072
67,80861,22486,57981080.8064
68,80714,22526,57981112.3584
69,80688,22566,57981160.2432
70,80791,22596,57981193.0368
71,80746,22626,57981224.1152
72,80654,22656,57981255.4624
73,80848,22706,57981289.1136
74,81070,22736,57981336.6144
75,80769,22766,57981368.7424
76,82805,22806,57981400.0512
77,89640,22847,57981431.3344
78,89630,22887,57981478.8864
79,89716,22917,57981511.7312
80,89766,22947,57981543.168
81,89600,22998,57981575.6288
82,89804,23028,57981623.6928
83,89601,23058,57981655.68
84,89642,23088,57981687.2192
85,89756,23118,57981719.5008
86,89776,23168,57981751.1552
87,89755,23198,57981799.616
88,89562,23238,57981831.744
89,89744,23268,57981864.0384
90,87316,23318,57981896.0384
91,80818,23349,57981943.8208
92,80874,23379,57981976.768
93,80804,23409,57982008
94,80731,23449,57982039.7696
95,80936,23489,57982072.1408
96,80850,23520,57982120.7296
97,80638,23560,57982152.1792
98,80507,23590,57982183.8464
99,80805,23640,57982216.4864
100,80769,23670,57982264.3584
101,80898,23700,57982295.9744
102,80863,23730,57982328.512
103,80762,23760,57982361.088
104,80776,23810,57982391.7696
105,80948,23840,57982440.9088
106,81031,23881,57982471.5264
107,80992,23911,57982504.5248
108,80888,23961,57982535.5776
109,80741,23991,57982585.1264
110,80960,24022,57982615.872
111,80980,24052,57982648.3584
112,81030,24082,57982680.0128
113,80678,24132,57982712.2304
114,80853,24162,57982760
115,80863,24202,57982791.7568
116,81060,24232,57982824.7552
117,80654,24282,57982856.9472
118,80859,24312,57982904.8448
119,80867,24342,57982937.0368
120,80996,24373,57982968.4992
121,80701,24403,57983000.1792
122,80849,24453,57983032.3072
123,81137,24483,57983079.9872
124,80798,24523,57983111.5904
125,80903,24554,57983145.2672
126,80927,24594,57983176.0768
127,80977,24634,57983224.384
128,80700,24664,57983256.3968
