VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
18,22920,7517,61303329.3312
19,23006,7547,61303377.0752
20,23117,7577,61303410.048
21,23551,7607,61303442.1632
22,23638,7658,61303473.3312
23,24015,7688,61303522.5088
24,23537,7718,61303554.5216
25,23844,7758,61303584.8704
26,23584,7788,61303617.6
27,23597,7838,61303649.5616
28,23856,7868,61303696.832
29,24604,7898,61303730.2528
30,24296,7928,61303763.8912
31,23741,7979,61303794.6496
32,23664,8009,61303841.0752
33,23640,8039,61303873.6256
34,23992,8079,61303905.4208
35,24115,8109,61303937.4464
36,29719,8160,61303969.8048
37,33624,8190,61304017.408
38,33253,8220,61304049.5104
39,33433,8250,61304080.8832
40,33216,8300,61304114.112
41,33678,8330,61304161.152
42,33794,8360,61304193.984
43,33613,8400,61304224.768
44,33373,8430,61304258.3424
45,33226,8480,61304290.048
46,33235,8511,61304337.1648
47,33101,8541,61304369.8944
48,32898,8571,61304401.664
49,32971,8621,61304434.8288
50,27840,8651,61304482.3168
51,23420,8682,61304514.304
52,23228,8712,61304545.8816
53,23507,8752,61304577.5872
54,23416,8802,61304611.264
55,23456,8832,61304658.112
56,23608,8862,61304690.176
57,23450,8892,61304722.3424
58,23554,8942,61304753.6
59,23457,8972,61304801.8176
60,23668,9003,61304833.7408
61,23359,9033,61304866.2272
62,23602,9073,61304897.8048
63,23483,9123,61304929.6128
64,23330,9153,61304978.368
65,23442,9184,61305009.8816
66,23139,9214,61305041.8176
67,23157,9264,61305073.4848
68,23056,9294,61305122.24
69,23037,9324,61305154.0096
70,23098,9354,61305185.408
71,23279,9394,61305218.1504
72,23584,9444,61305249.7408
73,23592,9474,61305298.688
74,23843,9504,61305329.4848
75,23585,9535,61305362.9184
76,23707,9585,61305394.368
77,23404,9615,61305441.664
78,23443,9645,61305474.3936
79,23665,9675,61305505.1648
80,23642,9716,61305538.1632
81,24015,9756,61305569.9968
82,24148,9796,61305618.8032
83,24075,9826,61305649.792
84,23573,9856,61305681.8176
85,23406,9906,61305714.8032
86,23645,9936,61305762.2016
87,23479,9966,61305793.0368
88,23955,9996,61305825.6512
89,24261,10047,61305858.2144
90,29134,10077,61305906.3296
91,33281,10117,61305937.7152
92,32967,10147,61305970.3168
93,33350,10177,61306001.7664
94,33584,10228,61306034.0864
95,33905,10258,61306082.112
96,33443,10288,61306114.6496
97,33079,10318,61306145.8816
98,32827,10368,61306178.6624
99,33117,10398,61306226.3424
100,33303,10428,61306257.9712
101,33454,10468,61306289.3184
102,33963,10498,61306322.2912
103,33739,10549,61306353.8944
104,27764,10579,61306402.6368
105,23557,10609,61306433.2032
106,23186,10639,61306466.3424
107,23217,10689,61306498.0992
108,23567,10720,61306546.24
109,23644,10750,61306577.6128
110,23572,10790,61306610.2016
111,23597,10820,61306641.9072
112,23457,10870,61306673.9584
113,23190,10900,61306721.6256
114,23229,10930,61306754.56
115,23745,10960,61306784.9088
116,23733,11010,61306817.5744
117,23920,11040,61306866.048
118,23901,11071,61306898.24
119,23648,11111,61306929.8688
120,23449,11141,61306962.1632
121,23064,11191,61306993.8304
122,23128,11222,61307042.0352
123,23527,11252,61307073.7408
124,23796,11282,61307105.3312
125,23519,11332,61307138.2656
126,23759,11362,61307185.4464
127,23736,11392,61307218.2528
128,23527,11432,61307250.0864
129,23369,11462,61307282.7136
130,23178,11512,61307314.0352
131,23228,11542,61307361.856
132,23132,11573,61307394.9184
133,23238,11603,61307426.4064
134,23138,11653,61307458.5344
135,23018,11683,61307506.1632
136,23246,11713,61307538.5856
137,23505,11744,61307569.9456
138,23488,11784,61307602.2016
139,23161,11834,61307633.8304
140,23438,11864,61307682.56
141,23285,11894,61307713.8944
142,23332,11924,61307746.6496
143,23059,11974,61307778.2784
144,23256,12004,61307825.2672
145,23413,12034,61307858.0864
146,23315,12075,61307889.9712
147,23411,12105,61307922.8544
148,23474,12145,61307954.0352
149,23203,12185,61308002.88
150,23277,12215,61308034.7392
151,23197,12246,61308066.7264
152,23393,12296,61308098.6624
153,23220,12326,61308146.4576
154,23302,12356,61308179.2
155,23425,12386,61308210.304
156,23260,12426,61308243.2384
157,23137,12466,61308274.4448
158,23475,12506,61308322.752
159,23221,12536,61308354.752
160,23205,12566,61308386.8032
161,23344,12617,61308418.4064
162,23291,12647,61308466.1376
163,23326,12677,61308498.4064
164,23193,12707,61308530.24
165,23112,12747,61308561.728
166,23542,12788,61308594.4576
167,23409,12818,61308642.56
168,23329,12858,61308674.4832
169,27691,12888,61308705.8048
170,33024,12938,61308738.5472
171,33054,12968,61308786.5856
172,33008,12998,61308817.6128
173,33122,13028,61308849.5616
174,32857,13078,61308882.2272
175,33143,13109,61308930.8928
176,32986,13139,61308962.5984
177,33068,13179,61308994.24
178,32944,13209,61309026.7648
179,32959,13259,61309058.2144
180,33163,13290,61309105.856
181,32942,13320,61309138.8672
182,33099,13350,61309170.8288
183,28819,13400,61309201.984
184,23190,13430,61309250.7648
185,23400,13460,61309282.5856
186,23313,13500,61309314.6368
187,23356,13530,61309345.9456
188,23244,13580,61309378.6112
189,23416,13611,61309426.56
190,23498,13641,61309458.5856
191,23412,13671,61309489.856
192,23357,13721,61309522.56
193,23338,13751,61309570.5472
194,23423,13782,61309602.2144
195,23506,13822,61309635.1616
196,23430,13852,61309666.816
197,23310,13892,61309699.328
198,23364,13932,61309746.2016
199,23416,13962,61309778.56
200,23426,13992,61309810.304
201,23397,14042,61309841.7408
202,23416,14072,61309890.2656
203,23412,14102,61309921.728
204,23494,14143,61309954.5344
205,23316,14173,61309986.5728
206,23391,14213,61310018.3296
207,23408,14253,61310065.7408
208,23248,14283,61310099.2128
209,23179,14314,61310130.56
210,23329,14364,61310162.56
211,23326,14394,61310212.7616
212,23073,14424,61310242.304
213,23197,14464,61310274.6368
214,23261,14494,61310306.4576
215,23430,14534,61310338.9312
216,23435,14574,61310385.728
217,23183,14604,61310418.9568
218,23351,14635,61310450.3424
219,23349,14685,61310482.7392
220,23069,14715,61310530.4576
221,23306,14745,61310562.944
222,23138,14785,61310593.9712
223,23037,14816,61310627.3408
224,23081,14856,61310658.9824
225,26343,14896,61310706.3936
226,32818,14926,61310739.7632
227,33089,14956,61310770.4832
228,32940,15006,61310802.3552
229,32898,15036,61310850.5984
230,32955,15066,61310882.3296
231,33150,15096,61310914.112
232,32935,15136,61310946.4832
233,32631,15177,61310978.6368
234,33146,15217,61311027.0976
235,32736,15247,61311058.88
236,32791,15277,61311090.8672
237,32807,15328,61311123.0336
238,32849,15358,61311170.304
239,29700,15388,61311203.1232
240,22958,15418,61311234.8416
241,23135,15458,61311266.2656
242,23181,15498,61311299.0848
243,23222,15538,61311346.7008
244,23278,15568,61311379.712
245,23198,15598,61311410.7136
246,23325,15648,61311442.7648
247,23253,15679,61311491.0464
248,23344,15709,61311523.328
249,23107,15739,61311554.6112
250,23229,15769,61311586.1504
251,23344,15819,61311618.88
252,23233,15850,61311667.072
253,23164,15890,61311699.0208
254,23259,15920,61311730.2656
255,23380,15970,61311763.392
256,23239,16000,61311810.7136
257,23214,16030,61311842.496
258,23131,16060,61311874.816
259,23235,16110,61311905.9968
260,23166,16140,61311954.3296
261,23028,16171,61311985.9584
262,23181,16211,61312019.4048
263,23437,16241,61312050.688
264,23254,16291,61312082.8672
265,23379,16321,61312130.368
266,23209,16352,61312163.2128
267,23213,16382,61312194.2016
268,23250,16432,61312227.0208
269,23280,16462,61312275.3536
270,23205,16492,61312307.0208
271,23300,16532,61312338.176
272,23272,16562,61312370.6368
273,23127,16612,61312402.1888
274,23101,16642,61312451.2896
275,23319,16672,61312482.3424
276,23153,16703,61312514.944
277,23283,16753,61312546.4704
278,23280,16783,61312595.4048
279,23277,16813,61312627.2128
280,23124,16843,61312659.136
281,23274,16884,61312690.112
282,23030,16934,61312723.4048
283,23204,16964,61312771.9296
284,23264,16994,61312802.5728
285,23312,17024,61312835.3536
286,23120,17074,61312866.2528
287,23263,17104,61312915.9936
288,23201,17134,61312945.92
289,23118,17164,61312978.112
290,23261,17205,61313010.6624
291,23108,17245,61313041.9072
292,23300,17285,61313089.4336
293,23270,17315,61313123.008
294,23112,17345,61313153.9072
295,23421,17396,61313186.5216
296,23223,17426,61313233.6
297,23187,17456,61313266.2656
298,23101,17486,61313299.0976
299,23275,17526,61313330.6496
300,23177,17566,61313363.2384
301,23191,17606,61313411.648
302,23326,17636,61313443.4432
303,23342,17666,61313474.8928
304,23323,17717,61313507.6864
305,23332,17747,61313554.7264
306,23227,17777,61313587.008
307,23110,17807,61313618.9568
308,23070,17847,61313651.2256
309,23210,17888,61313682.4832
310,23100,17928,61313731.8656
311,23446,17958,61313762.9952
312,23139,17988,61313795.9168
313,23399,18038,61313827.7248
314,23187,18068,61313875.136
315,23117,18098,61313907.3536
316,23233,18128,61313938.3552
317,23129,18158,61313970.624
318,23315,18208,61314002.368
319,23299,18239,61314050.624
320,23311,18279,61314081.5616
321,23220,18309,61314114.7264
322,23217,18359,61314145.664
323,23199,18390,61314195.2
324,23239,18420,61314227.2
325,23209,18450,61314259.4432
326,32658,18480,61314290.3936
327,33063,18530,61314323.2256
328,32790,18560,61314371.1104
329,32934,18600,61314402.944
330,33136,18630,61314435.1744
331,32830,18680,61314467.0592
332,32979,18710,61314514.56
333,32695,18741,61314547.52
334,32892,18771,61314579.6096
335,32806,18801,61314611.1488
336,32778,18851,61314643.264
337,32899,18881,61314690.5984
338,32864,18922,61314723.5968
339,32834,18952,61314755.7376
340,23191,19002,61314787.4048
341,23123,19032,61314834.816
342,23118,19062,61314867.9424
343,23230,19092,61314898.7776
344,23233,19142,61314931.2896
345,23304,19172,61314978.7008
346,22924,19202,61315010.6752
347,22963,19232,61315042.752
348,23036,19273,61315074.2656
349,23065,19313,61315106.4704
350,23399,19353,61315154.4832
351,23402,19383,61315187.0336
352,23012,19414,61315218.432
353,23061,19464,61315251.2
354,23223,19494,61315298.3808
355,23136,19524,61315331.712
356,23265,19554,61315363.1232
357,23254,19594,61315395.456
358,23170,19644,61315427.3408
359,23079,19674,61315476.0192
360,22973,19704,61315507.3152
361,23246,19734,61315539.3536
362,23184,19785,61315571.1744
363,23163,19815,61315619.52
364,23283,19845,61315651.5072
365,23103,19875,61315683.1488
366,23408,19915,61315715.1744
367,23171,19956,61315747.2512
368,23127,19996,61315795.1616
369,23197,20026,61315827.264
370,23276,20056,61315858.944
371,23095,20106,61315891.5968
372,23257,20136,61315938.5472
373,23061,20166,61315971.008
374,23195,20196,61316002.3936
375,23191,20236,61316035.0208
376,23240,20277,61316065.9584
377,23231,20307,61316115.1872
378,22992,20347,61316146.304
379,23364,20377,61316179.2
380,23532,20427,61316211.7632
381,23227,20458,61316259.1616
382,23414,20488,61316291.2768
383,23095,20518,61316322.6112
384,23258,20548,61316355.648
385,23301,20598,61316387.52
386,23085,20638,61316435.3536
387,23347,20668,61316467.3024
388,23099,20698,61316499.8144
389,23295,20748,61316531.392
390,23207,20779,61316578.9312
391,23158,20809,61316611.5712
392,23150,20839,61316646.1568
393,23260,20869,61316675.712
394,23281,20919,61316706.5728
395,23305,20950,61316755.4304
396,23327,20990,61316786.8672
397,23260,21020,61316819.6992
398,23331,21070,61316851.2384
399,23250,21100,61316899.8784
400,23100,21130,61316931.0848
401,23272,21160,61316963.712
402,23116,21190,61316997.0432
403,23358,21240,61317027.4176
404,23151,21270,61317074.9696
405,23436,21311,61317106.368
406,23114,21341,61317138.9312
407,23152,21391,61317169.9968
408,23242,21421,61317218.9952
409,23159,21451,61317250.8288
410,33074,21482,61317283.5328
411,32873,21512,61317315.0848
412,32906,21562,61317347.5968
413,32820,21592,61317395.648
414,33065,21632,61317427.9936
415,32931,21662,61317459.968
416,32796,21712,61317490.8032
417,32914,21742,61317539.456
418,32754,21772,61317570.816
419,32825,21803,61317604.1728
420,32837,21853,61317635.2384
421,32961,21883,61317683.392
422,33184,21913,61317715.0208
423,32982,21943,61317747.9168
424,23584,21984,61317778.7904
425,23822,22024,61317811.584
426,23914,22064,61317859.5456
427,23929,22094,61317891.4048
428,24329,22124,61317924.0192
429,23959,22174,61317955.2384
430,23566,22204,61318002.432
431,23718,22234,61318034.6496
432,23974,22264,61318065.9072
433,24004,22304,61318098.8032
434,24035,22345,61318130.4192
435,24055,22385,61318179.0976
436,24185,22415,61318211.1232
437,24124,22445,61318243.4944
438,24107,22496,61318274.5728
439,23831,22526,61318323.4304
440,23638,22556,61318355.072
441,23576,22586,61318386.6112
442,23704,22626,61318418.9952
443,24197,22666,61318450.7008
444,24363,22706,61318499.6736
445,24471,22736,61318530.7776
446,24360,22766,61318563.7376
447,24149,22816,61318595.2768
448,23918,22847,61318643.4176
449,23857,22877,61318674.9056
450,24296,22907,61318707.9936
451,24066,22947,61318739.4432
452,24171,22987,61318771.6352
453,23862,23018,61318819.264
454,23744,23058,61318851.52
455,23585,23088,61318883.1744
456,23426,23138,61318916.6336
457,23844,23168,61318963.2
458,24288,23198,61318995.9552
459,24707,23228,61319027.3664
460,24048,23258,61319059.0592
461,23986,23308,61319090.8544
462,24190,23339,61319138.4576
463,23962,23379,61319170.88
464,23716,23409,61319202.7392
465,23170,23459,61319234.9568
466,23383,23489,61319283.1872
467,23225,23520,61319315.6864
468,23782,23550,61319347.3024
469,23728,23580,61319379.8784
470,23786,23630,61319411.8272
471,23752,23660,61319459.1872
472,23698,23700,61319491.9168
473,23770,23730,61319523.6352
474,23660,23780,61319555.648
475,23493,23810,61319603.1488
476,23657,23840,61319635.7888
477,23368,23871,61319667.5328
478,23423,23901,61319699.3792
479,23282,23951,61319731.1232
480,23150,23981,61319780.1472
481,23273,24022,61319812.2112
482,22979,24052,61319844.0704
483,23154,24092,61319875.4304
484,22946,24132,61319922.9056
485,23655,24162,61319956.2496
486,32626,24192,61319987.0464
487,32686,24222,61320019.584
488,32885,24272,61320050.6624
489,32915,24302,61320098.9696
490,33094,24342,61320130.5216
491,33095,24373,61320163.6096
492,33138,24423,61320194.88
493,32751,24453,61320243.5712
494,32901,24483,61320275.328
495,32962,24513,61320308.2624
496,33059,24544,61320339.8528
497,32928,24594,61320371.3792
498,33139,24624,61320419.456
499,32554,24664,61320450.8928
500,23554,24694,61320483.776
501,23694,24734,61320515.7888
502,23728,24774,61320564.1216
503,23224,24804,61320595.8528
504,23574,24834,61320627.5072
505,23876,24885,61320659.0336
506,23984,24915,61320707.8272
507,24005,24945,61320739.5072
508,23531,24975,61320771.6736
509,23482,25015,61320803.8144
510,23488,25056,61320835.008
511,23568,25096,61320883.7888
512,24215,25126,61320915.5584
513,24408,25156,61320948.224
514,23553,25206,61320978.9568
515,23525,25236,61321028.4672
516,23452,25266,61321058.4704
517,23758,25296,61321091.2768
518,23891,25326,61321123.4304
519,23696,25376,61321154.2784
520,23546,25417,61321203.1872
521,23844,25447,61321235.9808
522,23262,25477,61321267.3792
523,23603,25527,61321300.0576
524,23884,25558,61321347.0464
525,23656,25588,61321381.1328
526,23667,25618,61321411.2768
527,23767,25648,61321444.0064
528,23891,25698,61321475.7376
529,23628,25738,61321523.2256
530,23438,25768,61321555.9936
531,23620,25798,61321587.0848
532,23838,25848,61321619.8784
533,23951,25878,61321668.3776
534,23464,25909,61321699.328
535,23603,25939,61321732.0704
536,23422,25969,61321763.264
537,23687,26019,61321796.3392
538,23603,26049,61321843.7504
539,23405,26090,61321876.096
540,23289,26120,61321907.8912
541,23384,26170,61321939.6736
542,23252,26200,61321988.288
543,23489,26230,61322019.5584
544,23394,26260,61322052.5824
545,23438,26290,61322083.2128
546,23402,26340,61322114.5216
547,23488,26370,61322164.1216
548,23282,26411,61322195.2512
549,23229,26441,61322227.4688
550,23121,26481,61322259.904
551,23104,26521,61322307.3664
