Item1.Item1.Id,Item1.Item1.Duration,Item1.Item1.Size,Item1.Item1.Colour1,Item1.Item1.Colour2,Item1.Item1.numDots1,Item1.Item1.numDots2,Item1.Item1.dotLifeBool,Item1.Item1.dotLifetime,Item1.Item1.Contrast1,Item1.Item1.Contrast2,Item1.Item1.VelX1,Item1.Item1.VelX2,Item1.Item1.VelY1,Item1.Item1.VelY2,Item1.Item1.Coherence1,Item1.Item1.Coherence2,Item1.Item2,Item2
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:17:02.5331584,59590
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:17:04.5615104,61628
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:17:06.5583616,63626
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:17:08.5585792,65634
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:17:10.5588352,67632
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:17:12.5591296,69640
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:17:14.5593472,71648
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:17:16.5608576,73655
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:17:18.5598336,75653
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:17:20.5600896,77661
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:17:22.5603328,79669
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:17:24.5606144,81666
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:17:26.5608448,83674
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:17:28.5613056,85682
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:17:30.5625728,87680
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:17:32.5616128,89688
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:17:34.5618304,91696
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:17:36.5620736,93694
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:17:38.5623168,95702
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:17:40.5626624,97709
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:17:42.5628288,99717
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:17:44.5642752,101715
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:17:46.5633152,103723
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:17:48.5635712,105730
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:17:50.5638272,107728
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:17:52.5640704,109736
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:17:54.5643264,111744
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:17:56.5646592,113742
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:17:58.5660800,115750
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:18:00.5650816,117758
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:18:02.5653120,119755
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:18:04.5655552,121763
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:18:06.5657984,123771
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:18:08.5660672,125769
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:18:10.5666560,127776
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:18:12.5677312,129784
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:18:14.5668096,131792
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:18:16.5670528,133790
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:18:18.5675008,135798
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:18:20.5675520,137796
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:18:22.5678080,139804
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:18:24.5682688,141812
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:18:26.5695744,143819
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:18:28.5685504,145817
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:18:30.5687936,147825
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:18:32.5690496,149833
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:18:34.5692928,151830
