Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
2161,11167,11854,58950075.776,706
2165,11167,11864,58950085.0688,707
2170,11167,11874,58950095.3088,707
2174,11167,11884,58950105.4336,708
2179,11167,11894,58950115.648,709
2182,11167,11904,58950124.8128,709
2187,11167,11914,58950135.1424,710
2191,11167,11924,58950145.3568,711
2196,11167,11934,58950155.5328,711
2200,11167,11944,58950165.6576,712
2204,11167,11954,58950174.9248,712
2208,11167,11964,58950185.0496,713
2213,11167,11974,58950195.3408,714
2217,11167,11984,58950205.5168,714
2221,11167,11994,58950214.8224,715
2225,11167,12004,58950225.024,715
2230,11167,12014,58950235.2128,716
2234,11167,12024,58950245.3504,717
2238,11167,12034,58950254.5536,717
2243,11167,12044,58950264.7552,718
2247,11167,12054,58950274.9952,718
2252,11167,12064,58950285.184,719
2257,11167,12075,58950295.4752,720
2261,11167,12085,58950305.7152,720
2266,11167,12095,58950315.8656,721
2271,11167,12105,58950325.9904,721
2276,11167,12115,58950336.3712,722
2280,11167,12125,58950345.3696,723
2285,11167,12135,58950355.584,723
2290,11167,12145,58950365.9776,724
2295,11167,12155,58950376.064,724
2300,11167,12165,58950385.3824,725
2305,11167,12175,58950395.4816,726
2311,11167,12185,58950405.7472,726
2316,11167,12195,58950415.8592,727
2321,11167,12205,58950425.152,727
2327,11167,12215,58950435.4304,728
2332,11167,12225,58950445.5552,729
2338,11167,12235,58950455.808,729
2344,11167,12246,58950466.0608,730
2350,11167,12256,58950476.1344,730
2356,11167,12266,58950486.4128,731
2362,11167,12276,58950496.576,732
2368,11167,12286,58950506.752,732
2373,11167,12296,58950516.0832,733
2379,11167,12306,58950526.2592,733
2385,11167,12316,58950536.448,734
2391,11167,12326,58950546.6368,735
2397,11167,12336,58950555.8784,735
2403,11167,12346,58950566.0672,736
2409,11167,12356,58950576.192,736
2415,11167,12366,58950586.496,737
2421,11167,12376,58950595.7376,738
2427,11167,12386,58950605.9008,738
2433,11167,12396,58950616.192,739
2439,11167,12406,58950626.3552,739
2444,11167,12416,58950635.5328,740
2450,11167,12426,58950645.7856,741
2456,11167,12436,58950656.0896,741
2461,11167,12446,58950666.2528,742
2467,11167,12456,58950676.4032,743
2472,11167,12466,58950685.568,743
2477,11167,12476,58950695.7184,744
2483,11167,12486,58950705.9968,744
2488,11167,12496,58950716.2624,745
2493,11167,12506,58950725.3632,745
2498,11167,12516,58950735.5904,746
2504,11167,12526,58950745.792,747
2509,11167,12536,58950756.032,747
2514,11167,12546,58950765.1712,748
2519,11167,12556,58950775.3728,748
2524,11167,12566,58950785.6512,749
2529,11167,12576,58950795.8016,750
2534,11167,12587,58950806.0928,750
2539,11167,12597,58950816.2816,751
2544,11167,12607,58950826.5472,752
2549,11167,12617,58950836.5952,752
2554,11167,12627,58950846.8352,753
2559,11167,12637,58950856.0768,753
2564,11167,12647,58950866.3936,754
2570,11167,12657,58950876.4416,755
2575,11167,12667,58950886.7712,755
2580,11167,12677,58950895.8848,756
2585,11167,12687,58950906.3424,756
2590,11167,12697,58950916.3136,757
2596,11167,12707,58950926.592,758
2601,11167,12717,58950935.7952,758
2606,11167,12727,58950945.9456,759
2612,11167,12737,58950956.1984,759
2617,11167,12747,58950966.3488,760
2623,11167,12758,58950976.5888,761
2629,11167,12768,58950986.88,761
2634,11167,12778,58950996.9792,762
2640,11167,12788,58951007.2192,762
2646,11167,12798,58951017.4592,763
2651,11167,12808,58951026.6368,764
2657,11167,12818,58951036.7872,764
2663,11167,12828,58951047.104,765
2668,11167,12838,58951057.216,765
2673,11167,12848,58951066.5088,766
2679,11167,12858,58951076.672,767
2684,11167,12868,58951086.9248,767
2690,11167,12878,58951097.1392,768
2694,11167,12888,58951106.2784,768
2700,11167,12898,58951116.5568,769
2705,11167,12908,58951126.8992,770
2710,11167,12918,58951136.9088,770
2715,11167,12928,58951146.0736,771
2720,11167,12938,58951156.288,771
2725,11167,12948,58951166.4896,772
2730,11167,12958,58951176.7168,773
2736,11167,12968,58951186.944,773
2740,11167,12978,58951196.1984,774
2745,11167,12988,58951206.2848,774
2750,11167,12998,58951216.6016,775
2755,11167,13008,58951226.7392,776
2760,11167,13018,58951235.9168,776
2764,11167,13028,58951246.1824,777
2769,11167,13038,58951256.4992,778
2774,11167,13048,58951266.5856,778
2778,11167,13058,58951275.8144,779
2783,13060,13068,58951285.9392,779
2787,13060,13078,58951296.192,780
2792,13060,13088,58951306.4192,781
2797,13060,13099,58951316.608,781
2801,13060,13109,58951326.8608,782
2806,13060,13119,58951336.9984,782
2811,13060,13129,58951347.1744,783
2815,13060,13139,58951357.5424,784
2819,13060,13149,58951366.7456,784
2823,13060,13159,58951376.8704,785
2828,13060,13169,58951387.0976,785
2832,13060,13179,58951397.376,786
2836,13060,13189,58951406.5024,787
2841,13060,13199,58951416.704,787
2845,13060,13209,58951426.9568,788
2850,13060,13219,58951437.0688,788
2854,13060,13229,58951446.3104,789
2858,13060,13239,58951456.704,790
2863,13060,13249,58951466.8032,790
2867,13060,13259,58951476.9664,791
2871,13060,13270,58951487.1552,791
2876,13060,13280,58951497.3824,792
2880,13060,13290,58951507.5712,793
2885,13060,13300,58951517.7728,793
2889,13060,13310,58951527.936,794
2893,13060,13320,58951537.2672,794
2898,13060,13330,58951547.4688,795
2902,13060,13340,58951557.7856,796
2907,13060,13350,58951567.9232,796
2911,13060,13360,58951577.1008,797
2916,13060,13370,58951587.2,797
2920,13060,13380,58951597.4784,798
2925,13060,13390,58951607.68,799
2930,13060,13400,58951616.832,799
2935,13060,13410,58951627.0592,800
2940,13060,13420,58951637.2992,800
2945,13060,13430,58951647.5776,801
2950,13060,13440,58951656.6656,802
2955,13060,13450,58951666.8416,802
2960,13060,13460,58951677.0432,803
