Item1.Item1.Id,Item1.Item1.Duration,Item1.Item1.Size,Item1.Item1.Colour1,Item1.Item1.Colour2,Item1.Item1.numDots1,Item1.Item1.numDots2,Item1.Item1.dotLifeBool,Item1.Item1.dotLifetime,Item1.Item1.Contrast1,Item1.Item1.Contrast2,Item1.Item1.VelX1,Item1.Item1.VelX2,Item1.Item1.VelY1,Item1.Item1.VelY2,Item1.Item1.Coherence1,Item1.Item1.Coherence2,Item1.Item2,Item2
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,15:24:45.8536192,333028
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,15:24:47.8493312,335026
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,15:24:49.8495616,337034
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,15:24:51.8498176,339042
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,15:24:53.8500736,341050
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,15:24:55.8503168,343048
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,15:24:57.8505728,345056
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,15:24:59.8520192,347063
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,15:25:01.8510464,349071
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,15:25:03.8512896,351079
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,15:25:05.8515712,353077
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,15:25:07.8518784,355084
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,15:25:09.8522368,357092
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,15:25:11.8525184,359100
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,15:25:13.8537984,361108
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,15:25:15.8528128,363106
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,15:25:17.8530560,365114
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,15:25:19.8532864,367122
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,15:25:21.8535296,369130
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,15:25:23.8538112,371137
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,15:25:25.8540544,373135
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,15:25:27.8555008,375143
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,15:25:29.8545408,377151
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,15:25:31.8547840,379158
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,15:25:33.8551040,381156
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,15:25:35.8552960,383164
