Photodiode,AsyncPulse,BonsaiTime
64,0,49959158.1184
78,0,49959159.2064
68,0,49959160.2816
81,0,49959161.3312
83,0,49959162.4448
72,0,49959163.4944
78,0,49959164.5824
79,0,49959165.5808
69,0,49959166.7712
65,0,49959167.7312
59,0,49959168.7936
62,0,49959169.856
66,0,49959170.9184
78,0,49959171.9936
70,0,49959173.056
68,0,49959174.1056
80,0,49959175.1808
65,0,49959176.2304
71,0,49959177.3184
79,0,49959178.3552
67,0,49959179.4944
60,0,49959180.5312
62,0,49959181.5808
72,0,49959182.6816
79,0,49959183.8336
67,0,49959184.768
82,0,49959185.8304
76,0,49959186.8928
62,0,49959187.9552
83,0,49959189.0176
72,0,49959190.0672
68,0,49959191.168
76,0,49959192.2048
74,0,49959193.2928
80,0,49959194.3936
82,0,49959195.4944
75,0,49959196.5312
66,0,49959197.5808
76,0,49959198.6432
71,0,49959199.7312
65,0,49959200.768
74,0,49959201.8048
66,0,49959202.8928
75,0,49959203.9424
67,0,49959205.0176
71,0,49959206.08
66,0,49959207.1424
85,0,49959208.2176
71,0,49959209.2672
60,0,49959210.3296
84,0,49959211.4176
78,0,49959212.48
66,0,49959213.5936
75,0,49959214.6432
65,0,49959215.68
76,0,49959216.7296
71,0,49959217.792
74,0,49959218.8544
65,0,49959219.9552
68,0,49959220.992
62,0,49959222.0544
75,0,49959223.1296
69,0,49959224.2048
69,0,49959225.2544
71,0,49959226.3296
69,0,49959227.392
68,0,49959228.4928
68,0,49959229.5424
76,0,49959230.592
64,0,49959231.6928
58,0,49959232.7296
74,0,49959233.792
81,0,49959234.8416
72,0,49959235.904
84,0,49959236.9792
70,0,49959238.0288
59,0,49959239.104
83,0,49959240.1792
72,0,49959241.2288
67,0,49959242.304
67,0,49959243.3792
70,0,49959244.5824
66,0,49959245.5424
72,0,49959246.592
78,0,49959247.6928
73,0,49959248.7424
69,0,49959249.7792
78,0,49959250.8416
70,0,49959251.904
83,0,49959252.992
75,0,49959254.0416
64,0,49959255.0656
82,0,49959256.1536
83,0,49959257.216
70,0,49959258.2912
78,0,49959259.3408
71,0,49959260.4288
73,0,49959261.4784
83,0,49959262.5536
73,0,49959263.6416
62,0,49959264.7424
72,0,49959265.7408
70,0,49959266.8032
77,0,49959267.8656
81,0,49959268.9536
83,0,49959270.0288
82,0,49959271.0784
78,0,49959272.1664
68,0,49959273.2032
69,0,49959274.2784
77,0,49959275.3536
65,0,49959276.416
62,0,49959277.4912
83,0,49959278.5408
81,0,49959279.6416
68,0,49959280.6912
72,0,49959281.7536
67,0,49959282.8544
60,0,49959283.8784
77,0,49959284.928
66,0,49959285.9904
66,0,49959287.0656
76,0,49959288.1152
75,0,49959289.2032
70,0,49959290.24
73,0,49959291.328
79,0,49959292.5696
78,0,49959293.5424
81,0,49959294.5536
80,0,49959295.6032
81,0,49959296.6912
82,0,49959297.7408
82,0,49959298.8032
80,0,49959299.8528
67,0,49959300.9152
76,0,49959301.9904
74,0,49959303.0528
74,0,49959304.1152
83,0,49959305.1648
84,0,49959306.2272
63,0,49959307.3024
69,0,49959308.3776
79,0,49959309.44
67,0,49959310.5152
75,0,49959311.5648
82,0,49959312.6784
61,0,49959313.7536
62,0,49959314.752
66,0,49959315.84
78,0,49959316.8768
69,0,49959317.9392
67,0,49959319.0144
66,0,49959320.1664
67,0,49959321.1648
78,0,49959322.2144
72,0,49959323.2768
82,0,49959324.352
74,0,49959325.4144
77,0,49959326.5024
79,0,49959327.552
73,0,49959328.6528
68,0,49959329.7024
83,0,49959330.752
79,0,49959331.8016
62,0,49959332.8896
73,0,49959333.9264
81,0,49959334.9888
60,0,49959336.064
75,0,49959337.1136
82,0,49959338.1888
67,0,49959339.2384
77,0,49959340.3264
79,0,49959341.376
66,0,49959342.7712
75,0,49959343.552
80,0,49959344.6016
81,0,49959345.6896
71,0,49959346.752
64,0,49959347.7888
66,0,49959348.9408
72,0,49959350.0288
70,0,49959350.9888
68,0,49959352.0768
66,0,49959353.1136
74,0,49959354.176
71,0,49959355.2384
64,0,49959356.3008
67,0,49959357.3632
85,0,49959358.4384
74,0,49959359.5008
71,0,49959360.6144
72,0,49959361.664
83,0,49959362.752
80,0,49959363.7504
74,0,49959364.8128
62,0,49959365.8752
70,0,49959366.9376
73,0,49959368.0256
78,0,49959369.1008
71,0,49959370.1632
72,0,49959371.2384
72,0,49959372.3008
67,0,49959373.3632
62,0,49959374.4384
79,0,49959375.5008
84,0,49959376.6016
67,0,49959377.664
68,0,49959378.8416
71,0,49959379.7504
73,0,49959380.8128
65,0,49959381.8752
74,0,49959382.9376
66,0,49959384
68,0,49959385.0752
74,0,49959386.1504
68,0,49959387.2128
71,0,49959388.2496
80,0,49959389.3248
64,0,49959390.3872
61,0,49959391.5136
65,0,49959392.5632
71,0,49959393.6128
67,0,49959394.7136
75,0,49959395.7632
75,0,49959396.8
74,0,49959397.8624
74,0,49959398.9376
77,0,49959399.9872
67,0,49959401.0752
70,0,49959402.1248
76,0,49959403.2128
82,0,49959404.2624
68,0,49959405.3248
82,0,49959406.4
71,0,49959407.4368
63,0,49959408.5632
82,0,49959409.6128
73,0,49959410.6624
63,0,49959411.776
78,0,49959412.8128
67,0,49959413.8368
67,0,49959415.0144
72,0,49959415.9744
69,0,49959417.024
64,0,49959418.112
81,0,49959419.1616
79,0,49959420.2368
67,0,49959421.312
73,0,49959422.3616
75,0,49959423.424
83,0,49959424.5632
85,0,49959425.6128
74,0,49959426.6496
66,0,49959427.7632
73,0,49959428.7616
66,0,49959429.8368
67,0,49959430.8864
79,0,49959431.9744
78,0,49959433.1776
66,0,49959434.0864
80,0,49959435.1616
73,0,49959436.2368
66,0,49959437.2992
80,0,49959438.3488
67,0,49959439.424
61,0,49959440.512
81,0,49959441.5616
68,0,49959442.624
67,0,49959443.712
79,0,49959444.7616
72,0,49959445.824
66,0,49959446.8736
69,0,49959447.9488
73,0,49959449.0112
61,0,49959450.0864
64,0,49959451.1744
77,0,49959452.224
78,0,49959453.2864
79,0,49959454.8608
81,0,49959455.3984
62,0,49959456.5248
76,0,49959457.5744
85,0,49959458.624
81,0,49959459.712
71,0,49959460.928
82,0,49959461.8112
75,0,49959462.9632
75,0,49959463.9232
72,0,49959465.088
65,0,49959466.0736
76,0,49959467.136
78,0,49959468.1984
66,0,49959469.248
82,0,49959470.3232
71,0,49959471.3728
69,0,49959472.4608
62,0,49959473.5744
60,0,49959474.624
60,0,49959475.7248
67,0,49959476.7616
72,0,49959477.888
66,0,49959478.8608
82,0,49959479.936
80,0,49959480.9728
73,0,49959482.0608
73,0,49959483.1616
75,0,49959484.1856
65,0,49959485.248
81,0,49959486.3232
76,0,49959487.3856
61,0,49959488.448
85,0,49959489.5232
78,0,49959490.624
67,0,49959491.6864
76,0,49959492.7488
66,0,49959493.7728
70,0,49959494.8352
76,0,49959495.8976
62,0,49959496.96
71,0,49959498.0736
81,0,49959499.1104
82,0,49959500.16
78,0,49959501.2224
66,0,49959502.3232
74,0,49959503.3984
81,0,49959504.4352
70,0,49959505.5232
68,0,49959506.5728
78,0,49959507.6736
61,0,49959508.7232
61,0,49959509.7728
70,0,49959510.8224
76,0,49959512.0128
61,0,49959512.96
63,0,49959514.0224
71,0,49959515.0976
73,0,49959516.1856
82,0,49959517.2224
62,0,49959518.272
63,0,49959519.3472
77,0,49959520.4096
68,0,49959521.5232
75,0,49959522.5728
75,0,49959523.6352
66,0,49959524.736
65,0,49959525.7728
66,0,49959526.848
68,0,49959527.8848
77,0,49959528.96
73,0,49959530.0096
65,0,49959531.0848
70,0,49959532.1344
79,0,49959533.1968
69,0,49959534.272
68,0,49959535.3344
72,0,49959536.3968
75,0,49959537.4592
68,0,49959538.5728
68,0,49959539.6352
69,0,49959540.6848
65,0,49959541.7728
68,0,49959542.7968
70,0,49959543.8464
59,0,49959544.896
66,0,49959545.984
66,0,49959547.0464
70,0,49959548.1088
80,0,49959549.184
69,0,49959550.272
66,0,49959551.3344
71,0,49959552.3968
71,0,49959553.472
84,0,49959554.5216
70,0,49959555.6352
70,0,49959556.6848
77,0,49959557.7728
76,0,49959558.7712
76,0,49959559.8592
82,0,49959561.0112
74,0,49959562.112
73,0,49959563.072
81,0,49959564.1344
72,0,49959565.1712
80,0,49959566.2464
80,0,49959567.3088
67,0,49959568.3712
83,0,49959569.4336
78,0,49959570.5344
73,0,49959571.584
70,0,49959572.6848
74,0,49959573.7472
68,0,49959574.784
72,0,49959575.8464
77,0,49959576.9216
82,0,49959578.0224
81,0,49959579.0464
76,0,49959580.1088
66,0,49959581.1712
81,0,49959582.2336
68,0,49959583.3984
62,0,49959584.384
74,0,49959585.408
66,0,49959586.5344
69,0,49959587.584
74,0,49959588.6336
68,0,49959589.7344
75,0,49959590.784
66,0,49959591.7952
62,0,49959592.8832
72,0,49959593.9584
77,0,49959595.0208
63,0,49959596.0704
67,0,49959597.1456
69,0,49959598.2208
65,0,49959599.2832
76,0,49959600.3328
83,0,49959601.408
83,0,49959602.4832
79,0,49959603.5328
65,0,49959604.6464
71,0,49959605.7344
83,0,49959606.784
60,0,49959607.8464
70,0,49959608.896
78,0,49959610.0352
68,0,49959611.0336
77,0,49959612.0704
76,0,49959613.12
66,0,49959614.208
71,0,49959615.2576
80,0,49959616.3456
65,0,49959617.3952
59,0,49959618.4704
76,0,49959619.5456
76,0,49959620.6336
66,0,49959621.696
67,0,49959622.784
75,0,49959623.7952
71,0,49959624.8704
77,0,49959625.9072
82,0,49959626.9952
82,0,49959628.0832
79,0,49959629.12
69,0,49959630.1952
64,0,49959631.2704
71,0,49959632.3328
67,0,49959633.408
59,0,49959634.4576
65,0,49959635.5328
79,0,49959636.5952
74,0,49959637.696
66,0,49959638.7456
81,0,49959639.8336
83,0,49959640.8448
72,0,49959641.92
80,0,49959642.9824
75,0,49959644.1344
63,0,49959645.1072
83,0,49959646.1824
72,0,49959647.2448
66,0,49959648.2944
78,0,49959649.3568
60,0,49959650.432
62,0,49959651.5456
72,0,49959652.5952
75,0,49959653.6448
75,0,49959654.7456
73,0,49959655.7952
60,0,49959656.8448
64,0,49959657.8944
83,0,49959658.9824
77,0,49959660.032
66,0,49959661.1072
75,0,49959662.1696
79,0,49959663.232
74,0,49959664.2944
80,0,49959665.3568
78,0,49959666.432
75,0,49959667.4944
71,0,49959668.5952
75,0,49959669.6448
74,0,49959670.6944
73,0,49959671.808
76,0,49959672.7936
74,0,49959673.8944
75,0,49959674.9824
83,0,49959675.9936
68,0,49959677.0816
66,0,49959678.1568
67,0,49959679.1936
66,0,49959680.2688
64,0,49959681.344
82,0,49959682.4064
78,0,49959683.4816
64,0,49959684.544
74,0,49959685.6576
79,0,49959686.6944
69,0,49959687.7568
71,0,49959688.7936
81,0,49959689.856
71,0,49959690.9568
72,0,49959692.0064
83,0,49959693.056
59,0,49959694.1824
76,0,49959695.1936
76,0,49959696.256
77,0,49959697.3184
82,0,49959698.3808
81,0,49959699.456
59,0,49959700.544
68,0,49959701.6064
82,0,49959702.6688
80,0,49959703.7568
79,0,49959704.8064
66,0,49959705.856
64,0,49959706.9312
70,0,49959707.9936
78,0,49959709.0432
66,0,49959710.1184
59,0,49959711.2064
73,0,49959712.2432
79,0,49959713.3056
71,0,49959714.3808
65,0,49959715.456
78,0,49959716.544
68,0,49959717.5936
61,0,49959718.656
84,0,49959719.744
67,0,49959720.7936
66,0,49959721.8304
82,0,49959722.9056
76,0,49959723.968
66,0,49959725.0304
81,0,49959726.08
61,0,49959727.1424
66,0,49959728.256
74,0,49959729.2928
74,0,49959730.3552
73,0,49959731.4304
65,0,49959732.5056
81,0,49959733.6064
81,0,49959734.7456
64,0,49959735.7824
81,0,49959736.7936
83,0,49959737.8304
66,0,49959738.88
63,0,49959739.9552
67,0,49959741.0176
74,0,49959742.08
69,0,49959743.1296
82,0,49959744.2176
64,0,49959745.3184
78,0,49959746.3296
79,0,49959747.4176
75,0,49959748.4544
83,0,49959749.5552
79,0,49959750.6048
63,0,49959751.7824
82,0,49959752.7552
83,0,49959753.8048
79,0,49959754.8544
82,0,49959755.9424
78,0,49959757.0176
70,0,49959758.08
71,0,49959759.1424
66,0,49959760.192
78,0,49959761.2672
62,0,49959762.304
58,0,49959763.392
72,0,49959764.48
65,0,49959765.5552
66,0,49959766.6048
82,0,49959767.6928
75,0,49959768.7552
63,0,49959769.8048
83,0,49959770.8544
75,0,49959771.9168
68,0,49959772.9792
75,0,49959774.0544
65,0,49959775.104
63,0,49959776.1664
79,0,49959777.216
66,0,49959778.2912
68,0,49959779.3664
77,0,49959780.544
80,0,49959781.568
77,0,49959782.6176
77,0,49959783.7056
67,0,49959784.8704
77,0,49959785.9328
65,0,49959786.8416
62,0,49959787.8912
82,0,49959788.9664
67,0,49959790.0416
72,0,49959791.0912
73,0,49959792.1536
74,0,49959793.2416
67,0,49959794.3424
68,0,49959795.5072
68,0,49959796.4416
66,0,49959797.4912
76,0,49959798.5792
67,0,49959799.6672
65,0,49959800.7168
67,0,49959801.7664
82,0,49959802.816
68,0,49959803.8784
62,0,49959804.9408
69,0,49959806.016
74,0,49959807.2832
82,0,49959808.1536
77,0,49959809.2416
64,0,49959810.2784
67,0,49959811.3408
78,0,49959812.4032
70,0,49959813.504
65,0,49959814.6176
82,0,49959815.7312
79,0,49959816.704
69,0,49959817.856
80,0,49959818.816
79,0,49959819.8656
68,0,49959820.928
82,0,49959821.9904
72,0,49959823.0528
60,0,49959824.128
83,0,49959825.1904
78,0,49959826.2528
69,0,49959827.3152
74,0,49959828.3904
65,0,49959829.4528
65,0,49959830.5024
65,0,49959831.616
65,0,49959832.6656
67,0,49959833.7536
69,0,49959834.816
77,0,49959835.8784
81,0,49959836.9152
67,0,49959837.9776
82,0,49959839.0528
79,0,49959840.1024
72,0,49959841.1776
70,0,49959842.2272
77,0,49959843.3408
75,0,49959844.3904
80,0,49959845.44
79,0,49959846.528
76,0,49959847.616
80,0,49959848.6656
76,0,49959849.7152
67,0,49959850.7648
84,0,49959851.8144
72,0,49959852.8768
72,0,49959853.9776
76,0,49959855.0016
65,0,49959856.0896
63,0,49959857.152
62,0,49959858.2144
64,0,49959859.2896
77,0,49959860.352
71,0,49959861.4272
70,0,49959862.4768
81,0,49959863.6544
78,0,49959864.7296
66,0,49959865.6768
78,0,49959866.7776
68,0,49959867.8144
68,0,49959868.864
77,0,49959869.9392
70,0,49959871.0016
66,0,49959872.0768
75,0,49959873.1264
68,0,49959874.2144
83,0,49959875.2768
61,0,49959876.3136
66,0,49959877.3888
81,0,49959878.4512
68,0,49959879.6288
72,0,49959880.6144
82,0,49959881.6768
76,0,49959882.7648
72,0,49959883.84
67,0,49959884.8768
70,0,49959885.9264
81,0,49959887.2576
84,0,49959888.064
60,0,49959889.1136
76,0,49959890.2016
82,0,49959891.2512
68,0,49959892.3136
67,0,49959893.376
60,0,49959894.4384
78,0,49959895.5008
67,0,49959896.64
70,0,49959897.6768
77,0,49959898.7776
61,0,49959899.8272
71,0,49959900.8128
70,0,49959901.9008
68,0,49959902.9632
71,0,49959904.064
69,0,49959905.088
70,0,49959906.1632
74,0,49959907.2512
78,0,49959908.288
79,0,49959909.3632
82,0,49959910.4512
75,0,49959911.5008
67,0,49959912.576
73,0,49959913.6896
68,0,49959914.7264
67,0,49959915.84
61,0,49959916.8256
79,0,49959917.9008
84,0,49959918.9504
75,0,49959920.0256
78,0,49959921.1008
82,0,49959922.1376
82,0,49959923.2512
68,0,49959924.288
79,0,49959925.3504
74,0,49959926.4
70,0,49959927.4752
80,0,49959928.5376
80,0,49959929.6256
72,0,49959930.6752
74,0,49959931.7888
67,0,49959932.8256
60,0,49959934.0416
59,0,49959934.9376
62,0,49959936.0128
66,0,49959937.1008
76,0,49959938.1376
67,0,49959939.2256
83,0,49959940.2752
78,0,49959941.3504
70,0,49959942.4
78,0,49959943.4496
81,0,49959944.5888
69,0,49959945.7664
80,0,49959946.6752
78,0,49959947.7888
78,0,49959948.8256
74,0,49959949.8624
83,0,49959951.1168
81,0,49959951.9872
74,0,49959953.0368
77,0,49959954.2144
69,0,49959955.1872
79,0,49959956.2496
80,0,49959957.2992
73,0,49959958.3744
70,0,49959959.4496
74,0,49959960.5248
68,0,49959961.6384
74,0,49959962.688
79,0,49959963.7376
67,0,49959964.8256
79,0,49959965.8624
75,0,49959966.912
72,0,49959967.9872
74,0,49959969.0496
80,0,49959970.0992
85,0,49959971.1744
62,0,49959972.2368
69,0,49959973.3248
