VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
0,88908,11161,58563064.6912
0,87534,11181,58574201.7152
1,81857,11211,58574237.0176
2,79983,11242,58574261.8112
3,78193,11272,58574296.2176
4,77925,11312,58574329.0752
5,79518,11342,58574361.2672
6,82187,11372,58574394.3808
7,84568,11412,58574422.2464
8,88070,11442,58574468.6336
9,267582,11482,58574490.5088
10,277007,11512,58574529.8944
11,276452,11542,58574559.3856
12,276548,11573,58574590.5664
13,276212,11603,58574623.7056
14,276393,11653,58574654.9376
15,276678,11683,58574703.68
16,276500,11713,58574735.0528
17,276407,11744,58574767.2192
18,276780,11794,58574799.3216
19,276706,11824,58574847.104
20,276331,11864,58574879.6672
21,276952,11894,58574911.2832
22,276721,11944,58574943.3728
23,98917,11974,58574991.3344
24,89216,12004,58575023.0656
25,89406,12034,58575056.832
26,89435,12064,58575087.1296
27,89707,12115,58575119.9104
28,89824,12145,58575167.1936
29,89354,12185,58575200.2816
30,89395,12215,58575232.1024
31,89305,12266,58575263.6032
32,89740,12296,58575312.1536
33,89681,12326,58575344.4352
34,89817,12356,58575376.1408
35,89675,12396,58575408.6656
36,89721,12436,58575441.2672
37,89727,12466,58575487.68
38,89706,12506,58575520.4352
39,89828,12536,58575551.9872
40,89816,12587,58575584.4352
41,89893,12617,58575632
42,89708,12647,58575664.2304
43,89930,12677,58575696.512
44,89909,12717,58575727.8464
45,89680,12758,58575761.088
46,89499,12788,58575807.8208
47,89853,12818,58575840.3712
48,89439,12858,58575871.9872
49,89798,12908,58575904
50,89749,12938,58575952.256
51,89645,12968,58575983.4752
52,89627,12998,58576016.5376
53,89660,13028,58576048.0128
54,89896,13078,58576080.5248
55,90062,13109,58576127.2448
56,90199,13149,58576161.216
57,90118,13179,58576193.0112
58,89482,13229,58576223.7696
59,89263,13259,58576272.1024
60,89589,13290,58576304.1664
61,89388,13320,58576335.872
62,89208,13350,58576368.4608
63,89418,13400,58576399.5392
64,89359,13430,58576448.3712
65,89118,13460,58576479.5264
66,89457,13500,58576512.1024
67,89787,13540,58576544.3328
68,89168,13580,58576592.5248
69,88978,13611,58576623.872
70,170640,13641,58576655.936
71,277049,13671,58576687.8976
72,301803,13721,58576721.0112
73,277700,13751,58576768.2688
74,276836,13782,58576800.1792
75,276273,13822,58576831.232
76,277533,13862,58576864.64
77,276885,13892,58576911.1424
78,277170,13932,58576944.1152
79,276091,13962,58576976.0256
80,276595,13992,58577008.96
81,276733,14042,58577039.808
82,277368,14072,58577087.9872
83,277198,14102,58577119.9744
84,213657,14133,58577151.5392
85,96521,14183,58577184.0256
86,91114,14223,58577231.6032
87,89797,14253,58577264.1152
88,89151,14283,58577295.1808
89,89264,14314,58577328.7168
90,90464,14364,58577360.5248
91,89410,14394,58577407.7952
92,89302,14424,58577440.0256
93,89398,14454,58577472.0896
94,104665,14504,58577503.7568
95,119530,14534,58577551.9104
96,149757,14574,58577584.3968
97,89129,14604,58577615.5264
98,88636,14635,58577648.0896
99,89620,14685,58577680.3072
100,89834,14735,58577728.6912
101,90158,14775,58577776.6016
102,89307,14785,58577816.5888
103,89653,14826,58577827.84
104,90385,14856,58577871.9616
105,89497,14896,58577904.192
106,89638,14926,58577936.1536
107,89085,14976,58577968.5504
108,97464,15006,58578015.9872
109,96919,15036,58578047.7824
110,89924,15066,58578079.3856
111,88859,15096,58578111.616
112,112789,15147,58578144.3712
113,101511,15177,58578191.2192
114,89782,15217,58578224.3968
115,89077,15247,58578259.4304
116,89530,15297,58578288.1536
117,126615,15328,58578336.3456
118,89486,15358,58578368.6016
119,89465,15388,58578399.8336
120,88943,15418,58578433.1904
121,91552,15468,58578463.3728
122,89167,15498,58578512.0512
123,89503,15538,58578543.4752
124,88880,15568,58578576.448
125,89430,15618,58578607.5776
126,89843,15648,58578656.6272
127,90051,15679,58578688.0256
128,89878,15709,58578719.9488
129,88951,15739,58578752.2176
130,89538,15789,58578784.9472
131,89618,15819,58578832.6912
132,89828,15850,58578863.4624
133,89861,15890,58578896.0256
134,89029,15930,58578927.7824
135,89321,15970,58578976.7936
136,103348,16000,58579008.3328
137,118611,16030,58579040.192
138,90023,16060,58579072.6784
139,89695,16110,58579104.5632
140,89489,16140,58579153.4464
141,92593,16171,58579183.9104
142,121279,16211,58579215.8464
143,90331,16261,58579248.2432
144,89274,16291,58579297.3696
145,88859,16321,58579328.0384
146,89198,16352,58579359.6544
147,89742,16382,58579393.2416
148,277610,16432,58579424.896
149,277731,16462,58579471.8336
150,277335,16492,58579503.9744
151,277115,16532,58579536.3968
152,277615,16582,58579568.64
153,277607,16612,58579618.432
154,277595,16642,58579648.128
155,276937,16672,58579680.4736
156,276517,16703,58579711.5392
157,277101,16753,58579743.488
158,278104,16783,58579792.6016
159,277819,16813,58579824.3456
160,277254,16843,58579855.6928
