Stimulus,Dist 1,Dist 2
0,7.692307692,7.692307692
1,7.692307692,7.692307692
2,7.692307692,7.692307692
3,7.692307692,7.692307692
4,7.692307692,7.692307692
5,7.692307692,7.692307692
6,7.692307692,7.692307692
7,7.692307692,7.692307692
8,7.692307692,7.692307692
9,7.692307692,7.692307692
10,7.692307692,7.692307692
11,7.692307692,7.692307692
12,7.692307692,7.692307692
