Item1.Item1.Id,Item1.Item1.Duration,Item1.Item1.Size,Item1.Item1.Colour1,Item1.Item1.Colour2,Item1.Item1.numDots1,Item1.Item1.numDots2,Item1.Item1.dotLifeBool,Item1.Item1.dotLifetime,Item1.Item1.Contrast1,Item1.Item1.Contrast2,Item1.Item1.VelX1,Item1.Item1.VelX2,Item1.Item1.VelY1,Item1.Item1.VelY2,Item1.Item1.Coherence1,Item1.Item1.Coherence2,Item1.Item2,Item2
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:12:53.6282112,39712
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:12:55.6509696,41740
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:12:57.6483072,43748
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:12:59.6485120,45746
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:13:01.6487552,47754
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:13:03.6489984,49762
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:13:05.6492672,51770
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:13:07.6508160,53778
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:13:09.6497536,55776
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:13:11.6499968,57783
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:13:13.6502528,59791
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:13:15.6504960,61799
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:13:17.6507776,63807
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:13:19.6513152,65814
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:13:21.6524928,67822
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:13:23.6515072,69820
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:13:25.6517376,71828
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:13:27.6519936,73836
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:13:29.6526080,75844
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:13:31.6525056,77852
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:13:33.6527488,79850
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:13:35.6541568,81857
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:13:37.6532608,83865
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:13:39.6535040,85873
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:13:41.6537344,87881
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:13:43.6540032,89888
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:13:45.6542336,91896
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,16:13:47.6545024,93894
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:13:49.6559232,95902
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,16:13:51.6549888,97910
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,16:13:53.6552576,99918
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:13:55.6555136,101926
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,16:13:57.6557312,103924
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,16:13:59.6559744,105931
