Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
68,5968,8180,61118597.696,493
68,5968,8190,61118607.9488,494
68,5968,8200,61118617.216,494
68,5968,8210,61118627.264,495
68,5968,8220,61118637.4784,495
68,5968,8230,61118648.3072,496
68,5968,8240,61118656.8576,497
68,5968,8250,61118667.1616,497
68,5968,8260,61118677.4016,498
68,5968,8270,61118687.5008,498
68,5968,8280,61118696.7296,499
68,5968,8290,61118706.9312,500
68,5968,8300,61118717.2224,500
68,5968,8310,61118727.4112,501
68,5968,8320,61118736.6144,501
68,5968,8330,61118746.9056,502
68,5968,8340,61118756.9664,503
68,5968,8350,61118767.2576,503
68,5968,8360,61118777.4592,504
68,5968,8370,61118786.688,504
68,5968,8380,61118796.9536,505
68,5968,8390,61118807.0016,506
68,5968,8400,61118817.3184,506
68,5968,8410,61118826.3936,507
68,5968,8420,61118836.7616,507
68,5968,8430,61118846.9632,508
68,5968,8440,61118857.1136,509
68,5968,8450,61118866.3296,509
68,5968,8460,61118876.48,510
68,5968,8470,61118886.8096,510
68,5968,8480,61118896.9984,511
68,5968,8491,61118907.1872,512
68,5968,8501,61118917.3376,512
68,5968,8511,61118927.6416,513
68,5968,8521,61118937.8176,514
68,8529,8531,61118947.9808,514
68,8529,8541,61118957.3504,515
68,8529,8551,61118967.3984,515
68,8529,8561,61118977.6768,516
68,8529,8571,61118987.9552,517
68,8529,8581,61118997.1968,517
68,8529,8591,61119007.2832,518
68,8529,8601,61119017.472,518
68,8529,8611,61119027.7504,519
68,8529,8621,61119036.8768,519
68,8529,8631,61119047.1936,520
68,8529,8641,61119057.5488,521
68,8529,8651,61119067.5712,521
68,8529,8662,61119077.7216,522
68,8529,8672,61119088.0512,523
68,8529,8682,61119098.3936,523
68,8529,8692,61119108.3904,524
68,8529,8702,61119118.72,524
68,8529,8712,61119127.8464,525
68,8529,8722,61119138.0992,526
68,8529,8732,61119148.2752,526
68,8529,8742,61119158.5152,527
68,8529,8752,61119167.7056,527
68,8529,8762,61119177.8688,528
68,8529,8772,61119188.1984,529
68,8529,8782,61119198.3616,529
68,8529,8792,61119207.5648,530
68,8529,8802,61119217.792,530
68,8529,8812,61119227.9552,531
68,8529,8822,61119238.2592,532
68,8529,8832,61119247.36,532
68,8529,8842,61119257.6384,533
68,8529,8852,61119268.0576,533
68,8529,8862,61119278.0032,534
68,8529,8872,61119288.2304,535
68,8529,8882,61119297.8176,535
68,8529,8892,61119307.584,536
68,8529,8902,61119317.8752,536
68,8529,8912,61119328.064,537
68,8529,8922,61119337.3056,537
68,8529,8932,61119347.456,538
68,8529,8942,61119357.6576,539
68,8529,8952,61119367.9616,539
68,8529,8962,61119377.0752,540
68,8529,8972,61119387.4304,541
68,8529,8982,61119397.5424,541
68,8529,8992,61119407.7696,542
68,8529,9003,61119417.9072,542
68,8529,9013,61119428.2496,543
68,8529,9023,61119438.4384,544
68,8529,9033,61119448.6144,544
68,8529,9043,61119458.8928,545
68,8529,9053,61119468.0448,545
68,8529,9063,61119478.3488,546
68,8529,9073,61119488.4608,547
68,8529,9083,61119498.6496,547
68,8529,9093,61119507.9168,548
68,8529,9103,61119518.1056,549
69,8529,9113,61119528.3456,549
69,8529,9123,61119538.56,550
69,8529,9133,61119547.712,550
70,8529,9143,61119557.952,551
70,8529,9153,61119568.2048,552
71,8529,9163,61119578.3808,552
71,8529,9174,61119588.5696,553
72,8529,9184,61119598.7712,553
72,8529,9194,61119609.0496,554
73,8529,9204,61119619.264,555
73,8529,9214,61119629.4016,555
74,8529,9224,61119638.6816,556
74,8529,9234,61119648.8832,556
75,8529,9244,61119659.0336,557
75,8529,9254,61119669.3504,558
76,8529,9264,61119678.5024,558
76,8529,9274,61119688.7168,559
77,8529,9284,61119698.8672,559
77,8529,9294,61119709.2352,560
78,8529,9304,61119718.336,561
78,8529,9314,61119728.4992,561
79,8529,9324,61119738.8416,562
80,8529,9334,61119748.9792,562
80,8529,9344,61119758.1568,563
81,8529,9354,61119768.4096,563
81,8529,9364,61119778.5856,564
82,8529,9374,61119788.7616,565
83,8529,9384,61119799.0528,565
83,8529,9394,61119808.3456,566
84,8529,9404,61119818.4576,567
84,8529,9414,61119828.7232,567
85,8529,9424,61119838.8736,568
86,8529,9434,61119848.1408,568
86,8529,9444,61119858.304,569
87,8529,9454,61119868.48,570
87,8529,9464,61119878.6944,570
88,8529,9474,61119888.0512,571
88,8529,9484,61119898.1632,571
89,8529,9494,61119908.3392,572
89,8529,9504,61119918.5408,573
90,8529,9515,61119928.832,573
90,8529,9525,61119938.9952,574
90,8529,9535,61119949.1712,575
91,8529,9545,61119959.3856,575
91,8529,9555,61119969.728,576
91,8529,9565,61119978.8032,576
92,8529,9575,61119989.0944,577
92,8529,9585,61119999.3088,578
93,8529,9595,61120009.4848,578
93,8529,9605,61120018.752,579
93,8529,9615,61120028.9536,579
94,8529,9625,61120039.1168,580
94,8529,9635,61120049.6896,581
95,8529,9645,61120058.5088,581
95,8529,9655,61120068.7616,582
96,8529,9665,61120078.9248,582
96,8529,9675,61120089.152,583
97,8529,9686,61120099.3152,584
97,8529,9696,61120109.6704,584
97,8529,9706,61120119.808,585
98,8529,9716,61120130.0864,585
98,8529,9726,61120140.1472,586
98,8529,9736,61120149.376,587
99,8529,9746,61120159.7056,587
99,8529,9756,61120169.8816,588
99,8529,9766,61120180.0832,588
99,8529,9776,61120189.376,589
99,8529,9786,61120199.488,590
99,8529,9796,61120209.664,590
100,8529,9806,61120219.9552,591
100,8529,9816,61120229.184,591
100,8529,9826,61120239.3472,592
100,8529,9836,61120249.4976,593
100,8529,9846,61120259.7248,593
100,8529,9856,61120269.1072,594
100,8529,9866,61120279.2064,594
100,8529,9876,61120289.5872,595
100,8529,9886,61120299.712,596
100,8529,9896,61120309.824,596
100,8529,9906,61120319.04,597
100,8529,9916,61120329.344,597
100,8529,9926,61120339.5456,598
100,8529,9936,61120349.7088,599
100,8529,9946,61120358.8736,599
100,8529,9956,61120369.1776,600
101,8529,9966,61120379.392,600
101,8529,9976,61120389.5168,601
101,8529,9986,61120398.6688,602
102,8529,9996,61120408.9216,602
102,8529,10006,61120419.2128,603
102,8529,10016,61120429.4528,603
102,8529,10027,61120439.616,604
103,8529,10037,61120449.9328,605
103,8529,10047,61120460.032,605
103,8529,10057,61120470.3616,606
104,8529,10067,61120480.5248,607
104,8529,10077,61120489.6768,607
104,8529,10087,61120499.9296,608
105,8529,10097,61120510.1312,608
105,8529,10107,61120520.448,609
106,8529,10117,61120529.6256,610
106,8529,10127,61120539.7504,610
