Photodiode,AsyncPulse,BonsaiTime,ArduinoTime
9,0,61534103.2576,6955
13,0,61534104.1792,6955
14,0,61534105.3952,6955
10,0,61534106.2912,6955
8,0,61534107.3024,6955
6,0,61534108.3008,6955
13,0,61534109.4144,6955
14,0,61534110.464,6955
15,0,61534111.552,6955
12,0,61534112.704,6955
12,0,61534113.6768,6965
12,0,61534114.7392,6965
11,0,61534115.8144,6965
13,0,61534116.9408,6965
11,0,61534117.9904,6965
13,0,61534119.04,6965
11,0,61534120.1408,6965
8,0,61534121.088,6965
11,0,61534122.176,6965
12,0,61534123.2512,6965
12,0,61534124.288,6975
14,0,61534125.3632,6975
11,0,61534126.5408,6975
10,0,61534127.5008,6975
14,0,61534128.5504,6975
7,0,61534129.5488,6975
10,0,61534130.6624,6975
10,0,61534131.712,6975
13,0,61534132.7744,6975
5,0,61534133.7728,6985
9,0,61534134.784,6985
12,0,61534135.936,6985
14,0,61534136.9856,6985
10,0,61534138.0352,6985
12,0,61534139.136,6985
11,0,61534140.1856,6985
6,0,61534141.1456,6985
9,0,61534142.1696,6985
13,0,61534143.3472,6985
12,0,61534144.3584,6995
12,0,61534145.4208,6995
11,0,61534146.4704,6995
9,0,61534147.4816,6995
13,0,61534148.5824,6995
12,0,61534149.632,6995
6,0,61534150.6048,6995
9,0,61534151.6288,6995
12,0,61534152.7552,6995
13,0,61534153.8176,7005
11,0,61534154.8672,7005
11,0,61534155.9424,7005
5,0,61534156.9408,7005
8,0,61534157.9392,7005
12,0,61534159.1936,7005
13,0,61534160.1408,7005
12,0,61534161.1904,7005
6,0,61534162.1632,7005
9,0,61534163.3024,7005
12,0,61534164.288,7015
12,0,61534165.3632,7015
9,0,61534166.336,7015
12,0,61534167.4368,7015
12,0,61534168.512,7015
13,0,61534169.5744,7015
8,0,61534170.56,7015
12,0,61534171.6608,7015
11,0,61534172.736,7015
9,0,61534173.7088,7025
7,0,61534174.72,7025
7,0,61534175.744,7025
9,0,61534176.768,7025
12,0,61534177.8816,7025
11,0,61534178.9952,7025
13,0,61534180.0576,7025
13,0,61534181.1072,7025
12,0,61534182.7328,7025
13,0,61534183.2832,7025
11,0,61534184.2944,7035
12,0,61534185.344,7035
13,0,61534186.4064,7035
12,0,61534187.4688,7035
6,0,61534188.4928,7035
9,0,61534189.4784,7035
10,0,61534190.5792,7035
8,0,61534191.5648,7035
6,0,61534192.8704,7035
13,0,61534193.7024,7045
13,0,61534194.7648,7045
9,0,61534195.7632,7045
11,0,61534196.8512,7045
11,0,61534197.9392,7045
11,0,61534199.0016,7045
5,0,61534200,7045
9,0,61534200.9984,7045
12,0,61534202.1504,7045
12,0,61534203.2,7055
11,0,61534204.2496,7055
6,0,61534205.2352,7055
7,0,61534206.2336,7055
12,0,61534207.3856,7055
10,0,61534208.4224,7055
11,0,61534209.472,7055
13,0,61534210.5344,7055
14,0,61534211.6096,7055
12,0,61534212.6848,7055
9,0,61534213.6448,7065
11,0,61534214.7584,7065
13,0,61534215.8464,7065
13,0,61534216.9472,7065
14,0,61534217.9968,7065
14,0,61534219.0464,7065
12,0,61534220.1472,7065
13,0,61534221.1968,7065
7,0,61534222.1952,7065
6,0,61534223.2448,7065
7,0,61534224.192,7075
7,0,61534225.2928,7075
11,0,61534226.3168,7075
10,0,61534227.4048,7075
12,0,61534228.4672,7075
6,0,61534229.5296,7075
7,0,61534230.464,7075
13,0,61534231.5648,7075
12,0,61534232.64,7075
13,0,61534233.7024,7085
7,0,61534234.6752,7085
12,0,61534235.776,7085
13,0,61534236.8512,7085
13,0,61534237.952,7085
6,0,61534238.8992,7085
8,0,61534239.9488,7085
6,0,61534240.9984,7085
9,0,61534242.0096,7085
13,0,61534243.0976,7095
11,0,61534244.1984,7095
12,0,61534245.2096,7095
7,0,61534246.1824,7095
9,0,61534247.2192,7095
11,0,61534248.3456,7095
15,0,61534249.3952,7095
13,0,61534250.4704,7095
8,0,61534251.4304,7095
12,0,61534252.6464,7095
11,0,61534253.6192,7105
12,0,61534254.6688,7105
13,0,61534256.0128,7105
6,0,61534256.704,7105
9,0,61534257.728,7105
13,0,61534258.8416,7105
14,0,61534259.9552,7105
12,0,61534261.0048,7105
13,0,61534262.0544,7105
11,0,61534263.1808,7105
11,0,61534264.2048,7115
12,0,61534265.2544,7115
13,0,61534266.304,7115
13,0,61534267.3792,7115
13,0,61534268.4416,7115
10,0,61534269.5168,7115
12,0,61534270.5664,7115
11,0,61534271.6416,7115
7,0,61534272.6272,7115
11,0,61534273.7408,7126
8,0,61534274.7136,7126
11,0,61534275.8656,7126
13,0,61534276.8896,7126
11,0,61534278.0032,7126
6,0,61534278.9504,7126
8,0,61534280.0128,7126
10,0,61534281.0496,7126
13,0,61534282.1504,7126
13,0,61534283.2384,7126
6,0,61534284.1856,7136
12,0,61534285.376,7136
13,0,61534286.336,7136
11,0,61534287.424,7136
13,0,61534288.4864,7136
15,0,61534289.5488,7136
8,0,61534290.56,7136
9,0,61534291.5712,7136
11,0,61534292.6848,7136
12,0,61534293.76,7136
12,0,61534294.8096,7146
11,0,61534295.872,7146
9,0,61534296.8448,7146
12,0,61534298.0096,7146
9,0,61534298.9568,7146
11,0,61534300.0576,7146
8,0,61534301.0176,7146
11,0,61534302.1568,7146
15,0,61534303.2192,7146
10,0,61534304.256,7156
8,0,61534305.2416,7156
10,0,61534306.3424,7156
6,0,61534307.3152,7156
11,0,61534308.4416,7156
11,0,61534309.632,7156
12,0,61534310.5664,7156
5,0,61534311.552,7156
9,0,61534312.576,7156
11,0,61534313.6768,7156
14,0,61534314.7392,7166
14,0,61534315.8016,7166
7,0,61534316.7872,7166
8,0,61534317.8112,7166
12,0,61534319.0016,7166
13,0,61534320.0128,7166
11,0,61534321.0752,7166
7,0,61534322.0864,7166
8,0,61534323.1744,7166
6,0,61534324.1088,7176
7,0,61534325.1712,7176
13,0,61534326.208,7176
13,0,61534327.2576,7176
10,0,61534328.3328,7176
13,0,61534329.4592,7176
13,0,61534330.4832,7176
14,0,61534331.5456,7176
13,0,61534332.6336,7176
11,0,61534333.6832,7176
7,0,61534334.6688,7186
11,0,61534335.7696,7186
14,0,61534336.832,7186
13,0,61534337.8944,7186
9,0,61534338.88,7186
10,0,61534340.0064,7186
5,0,61534340.9664,7186
10,0,61534342.1184,7186
12,0,61534343.168,7186
11,0,61534344.2048,7196
6,0,61534345.1904,7196
7,0,61534346.2656,7196
12,0,61534347.3152,7196
13,0,61534348.3776,7196
11,0,61534349.4528,7196
7,0,61534350.4384,7196
7,0,61534351.4496,7196
11,0,61534352.5504,7196
13,0,61534353.6384,7196
13,0,61534354.7776,7206
6,0,61534355.6736,7206
7,0,61534356.6848,7206
6,0,61534358.4,7206
12,0,61534358.8992,7206
11,0,61534359.8976,7206
13,0,61534360.96,7206
6,0,61534361.9584,7206
10,0,61534363.0848,7206
12,0,61534364.1216,7216
12,0,61534365.2096,7216
13,0,61534366.2464,7216
13,0,61534367.424,7216
12,0,61534368.3968,7216
11,0,61534369.4464,7216
8,0,61534370.4192,7216
9,0,61534371.6608,7216
10,0,61534372.608,7216
11,0,61534373.632,7216
11,0,61534374.6944,7226
13,0,61534375.7824,7226
11,0,61534376.8064,7226
11,0,61534377.8944,7226
11,0,61534378.9696,7226
12,0,61534380.0192,7226
5,0,61534381.0432,7226
10,0,61534382.1184,7226
11,0,61534383.232,7226
13,0,61534384.2176,7236
6,0,61534385.216,7236
7,0,61534386.2528,7236
11,0,61534387.3664,7236
13,0,61534388.416,7236
7,0,61534389.376,7236
5,0,61534390.4,7236
7,0,61534391.424,7236
12,0,61534392.5376,7236
13,0,61534393.6128,7236
9,0,61534394.5856,7246
12,0,61534395.6864,7246
8,0,61534396.672,7246
10,0,61534397.7728,7246
10,0,61534398.848,7246
7,0,61534399.8208,7246
13,0,61534400.96,7246
7,0,61534401.9072,7246
10,0,61534403.0208,7246
11,0,61534404.1216,7256
11,0,61534405.184,7256
7,0,61534406.1696,7256
7,0,61534407.168,7256
12,0,61534408.2432,7256
14,0,61534409.3312,7256
11,0,61534410.3808,7256
12,0,61534411.4688,7256
11,0,61534412.5056,7256
9,0,61534413.5424,7256
11,0,61534414.592,7266
9,0,61534415.5904,7266
13,0,61534416.6784,7266
10,0,61534417.7536,7266
6,0,61534418.7136,7266
8,0,61534419.7504,7266
10,0,61534420.8512,7266
14,0,61534421.9264,7266
9,0,61534422.912,7266
8,0,61534423.9744,7276
6,0,61534424.9216,7276
9,0,61534425.9712,7276
11,0,61534427.072,7276
12,0,61534428.1728,7276
11,0,61534429.2224,7276
7,0,61534430.2208,7276
10,0,61534431.2832,7276
11,0,61534432.3456,7276
7,0,61534433.4336,7276
11,0,61534434.4576,7286
7,0,61534435.4048,7286
10,0,61534436.5312,7286
11,0,61534437.7088,7286
10,0,61534438.656,7286
14,0,61534439.7184,7286
12,0,61534440.8192,7286
11,0,61534441.8432,7286
10,0,61534442.9824,7286
10,0,61534444.032,7296
10,0,61534445.0816,7296
12,0,61534446.1696,7296
13,0,61534447.2448,7296
8,0,61534448.1792,7296
6,0,61534449.2032,7296
8,0,61534450.2272,7296
9,0,61534451.2512,7296
12,0,61534452.352,7296
8,0,61534453.3376,7296
12,0,61534454.4384,7306
10,0,61534455.5136,7306
11,0,61534456.576,7306
13,0,61534457.664,7306
11,0,61534458.7136,7306
11,0,61534459.776,7306
12,0,61534460.8384,7306
14,0,61534461.9008,7306
12,0,61534463.1936,7306
9,0,61534463.9744,7316
12,0,61534465.0752,7316
