(0, 0, 0, 0, 0, 0, 200)
(2, 55369059, 0, 1, 0, 0, -39.7745)
(2, 55403439, 0, 2, 0, 0, -39.9584)
(2, 55488010, 0, 3, 0, 0, -39.8971)
(2, 55587843, 0, 4, 0, 0, -39.8971)
(2, 55702318, 0, 5, 0, 0, -39.8358)
(2, 55864871, 0, 6, 0, 0, -39.5906)
(2, 56100629, 0, 8, 0, 0, -39.8971)
(2, 56276624, 0, 10, 0, 0, -39.8358)
(1, 56393656, 1, 10, 0, 0, -1039.836)
(1, 56458866, 2, 10, 0, 0, -1039.897)
(1, 56612221, 4, 10, 0, 0, -1039.958)
(1, 56782319, 6, 10, 0, 0, -1039.836)
(1, 56906797, 7, 10, 0, 0, -1039.958)
(1, 57168082, 9, 10, 0, 0, -1039.958)
(1, 57338827, 10, 10, 0, 0, -1039.713)
(2, 57653709, 10, 12, 0, 0, -39.6519)
(2, 57766537, 10, 13, 0, 0, -39.9584)
(2, 57888420, 10, 14, 0, 0, -39.9584)
(2, 58020313, 10, 15, 0, 0, -39.7745)
(2, 58098647, 10, 16, 0, 0, -39.9584)
(2, 58241317, 10, 17, 0, 0, -39.9584)
(1, 58391085, 11, 17, 0, 0, -1039.958)
(1, 58510539, 12, 17, 0, 0, -1039.897)
(1, 58641401, 13, 17, 0, 0, -1039.897)
(1, 58723624, 14, 17, 0, 0, -1039.897)
(1, 58848268, 15, 17, 0, 0, -1039.775)
(1, 59010267, 16, 17, 0, 0, -1039.775)
(1, 59050680, 17, 17, 0, 0, -1039.958)
(1, 59170776, 19, 17, 0, 0, -1039.897)
(2, 59304116, 19, 18, 0, 0, -39.9584)
